epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,334.069,0.49422,0.4125,0.84979,0.9087,0.79346,0.85678,0.68107,0.76948,0.49868,0.93577,0.0002327,0.0002327,0.0002327
110,336.754,0.4729,0.40685,0.84289,0.92459,0.77062,0.82967,0.65612,0.77437,0.50828,0.9392,0.000230225,0.000230225,0.000230225
111,339.463,0.49138,0.40277,0.84652,0.9046,0.77747,0.83966,0.65914,0.76165,0.50013,0.93545,0.00022775,0.00022775,0.00022775
112,342.466,0.47532,0.40125,0.84286,0.88996,0.781,0.83597,0.65207,0.78378,0.52089,0.93874,0.000225275,0.000225275,0.000225275
113,345.248,0.48815,0.40496,0.85057,0.90099,0.77883,0.83688,0.66018,0.79045,0.51732,0.94345,0.0002228,0.0002228,0.0002228
114,347.974,0.47545,0.39739,0.84392,0.91803,0.77649,0.84115,0.6632,0.79587,0.51253,0.94265,0.000220325,0.000220325,0.000220325
115,350.695,0.48624,0.40554,0.84904,0.92158,0.77571,0.85237,0.66979,0.81282,0.51204,0.93161,0.00021785,0.00021785,0.00021785
116,353.41,0.47794,0.3958,0.83957,0.89407,0.7972,0.85267,0.66801,0.80198,0.51419,0.93012,0.000215375,0.000215375,0.000215375
117,356.146,0.46435,0.39881,0.84344,0.83992,0.83407,0.85931,0.68461,0.80427,0.50059,0.93926,0.0002129,0.0002129,0.0002129
118,358.907,0.45988,0.39586,0.839,0.84372,0.81943,0.86168,0.68163,0.78567,0.50512,0.9355,0.000210425,0.000210425,0.000210425
119,361.585,0.47219,0.39865,0.84823,0.89232,0.801,0.85589,0.66826,0.78351,0.5047,0.93273,0.00020795,0.00020795,0.00020795
120,364.341,0.46521,0.39337,0.84019,0.89644,0.802,0.8398,0.65765,0.79212,0.51449,0.93149,0.000205475,0.000205475,0.000205475
121,367.034,0.46673,0.39161,0.84066,0.89736,0.80616,0.84543,0.66421,0.8074,0.53114,0.93284,0.000203,0.000203,0.000203
